"행정구역별(시군구)","성별","연령별","시점",일반가구원,가구주,가구주의 배우자,자녀,자녀의 배우자,가구주의 부모,배우자의 부모,손자녀 그 배우자,친손자녀·그 배우자,외손자녀·그 배우자,증손자녀·그 배우자,조부모,형제자매·그 배우자,형제자매의 자녀·그 배우자,부모의 형제자매·그 배우자,기타 친·인척,기타 동거인
"전국","계","75~79세","2018",1536930,943103,306350,226,84,213721,40346,-,X,X,X,8297,4516,22,1041,1648,17576
"전국","계","75~79세","2019",1544916,953398,317017,249,89,201441,37789,-,X,X,X,7712,4809,36,1133,1652,19591
"전국","계","75~79세","2020",1540870,960687,323251,260,92,188893,33403,X,-,-,X,7845,4736,30,1128,1491,19054
"전국","계","75~79세","2021",1529990,960546,327089,305,89,176107,30810,X,-,-,X,7838,5080,32,1205,1501,19388
"전국","계","75~79세","2022",1551840,978235,343385,378,90,165748,28934,X,-,-,X,6712,5797,44,1419,1530,19568
"전국","계","75~79세","2023",1624330,1032369,365112,421,105,162036,28058,X,-,-,X,5601,6944,60,1663,1601,20359
"전국","계","75~79세","2024",1713222,1096563,391293,471,110,160047,26909,X,-,-,X,4882,7818,64,1850,1644,21571
"전국","계","80~84세","2015",773354,445568,82870,43,24,184646,33487,-,X,X,X,12373,1412,X,570,1060,11300
"전국","계","80~84세","2016",839158,491441,94700,9,9,191466,34910,-,X,X,X,12190,1349,X,565,1050,11465
"전국","계","80~84세","2017",883675,527575,106261,8,7,188257,34271,-,X,X,X,12427,1420,5,598,1142,11704
"전국","계","80~84세","2018",938037,567979,119303,14,9,188792,33905,-,X,X,X,12724,1649,11,587,1078,11986
"전국","계","80~84세","2019",1001174,615678,134145,17,11,187707,33619,-,X,X,X,12442,1855,18,620,1151,13911
"전국","계","80~84세","2020",1032047,644782,143909,21,12,182655,31284,X,-,-,X,12646,1823,14,576,1004,13321
"전국","계","80~84세","2021",1092367,691687,159250,20,14,179099,30629,X,-,-,X,13469,2142,11,628,1041,14377
"전국","계","80~84세","2022",1201647,771428,180811,20,20,184702,31383,X,-,-,X,13339,2498,16,727,1160,15543
"전국","계","80~84세","2023",1240617,807732,189398,36,17,180707,30318,X,-,-,X,11951,2851,14,840,1192,15561
"전국","계","80~84세","2024",1250747,824279,196810,31,22,170851,28132,X,-,-,X,10401,3041,16,911,1135,15118
"전국","계","85세이상","2015",461530,222822,17279,X,X,163118,30981,-,X,X,X,16377,942,6,441,985,8576
"전국","계","85세이상","2016",492977,245274,19412,X,X,169093,32380,-,X,X,X,16222,524,X,461,910,8695
"전국","계","85세이상","2017",514611,267489,23074,X,X,165421,31854,-,X,X,X,16090,523,X,469,1056,8630
"전국","계","85세이상","2018",549129,294993,27054,X,X,167275,32407,-,X,X,X,16355,562,X,463,1023,8989
"전국","계","85세이상","2019",600048,332479,32328,X,7,172470,33277,-,X,X,X,16568,654,X,469,1045,10749
"전국","계","85세이상","2020",645773,367704,37670,X,5,177236,33527,X,-,-,X,17399,694,X,442,1050,10045
